"ID_BUILD","ID_SOURCE"
"1257","w120593615"
"1258","w120591931"
"1259","w120594840"
"1260","w120594720"
"1261","w120593235"
"1262","w120591718"
"1263","w120594676"
"1264","w120592235"
"1265","w120590166"
"1266","w120590268"
"1267","w120592373"
"1268","w120593704"
"1269","w120590826"
"1270","w120590416"
"1271","w120592991"
"1272","w120591543"
"1273","w120591864"
"1274","w120593392"
"1275","w120592131"
"1276","w120594297"
"1277","w120591348"
"1278","w120591102"
"1279","w120158601"
"1280","w120158890"
"1281","w120157798"
"1282","w120157149"
"1283","w120158347"
"1284","w120594782"
"1285","w120593691"
"1286","w120594709"
"1287","w120593379"
"1288","w120589534"
"1289","w120593020"
"1290","w120592591"
"1291","w120593568"
"1292","w120594197"
"1293","w120589588"
"1294","w120594028"
"1295","w120594331"
"1296","w120590135"
"1297","w120594627"
"1298","w120593477"
"1299","w120591347"
"1300","w120589740"
"1301","w120594006"
"1302","w120591594"
"1303","w120592154"
"1304","w120594375"
"1305","w120591606"
"1306","w120591841"
"1307","w120591463"
"1308","w120593285"
"1309","w120592898"
"1310","w120593604"
"1311","w120592545"
"1312","w120592002"
"1313","w120593360"
"1314","w120593011"
"1315","w120593671"
"1316","w120591427"
"1317","w120592990"
"1318","w120591331"
"1319","w120594138"
"1320","w120594240"
"1321","w120592946"
"1322","w120592246"
"1323","w120594503"
"1324","w120592429"
"1325","w120593929"
"1326","w120593783"
"1327","w120593244"
"1328","w120591786"
"1329","w120590804"
"1330","w120592279"
"1331","w120590479"
"1332","w120591387"
"1333","w120593576"
"1334","w120594285"
"1335","w120592906"
"1336","w120592261"
"1337","w120593826"
"1338","w120594512"
"1339","w120593792"
"1340","w120594017"
"1341","w120594699"
"1342","w120594876"
"1343","w120593980"
"1344","w120589750"
"1345","w120594319"
"1346","w120592063"
"1347","w120594771"
"1348","w120592439"
"1349","w120594252"
"1350","w120590679"
"1351","w120591246"
"1352","w120593253"
"1353","w120591408"
"1354","w120593582"
"1355","w120592287"
"1356","w120594642"
"1357","w120592112"
"1358","w120592880"
"1359","w120589889"
"1360","w120594749"
"1361","w120592740"
"1362","w120589562"
"1363","w120593549"
"1364","w120594256"
"1365","w120592023"
"1366","w120589594"
"1367","w120594004"
"1368","w120593960"
"1369","w120590072"
"1370","w120593144"
"1371","w120592070"
"1372","w120590752"
"1373","w120592380"
"1374","w120590447"
"1375","w120593797"
"1376","w120590344"
"1377","w120591820"
"1378","w120589485"
"1379","w120591082"
"1380","w120592781"
"1381","w120594679"
"1382","w120593659"
"1383","w120594925"
"1384","w120592482"
